Gender,Age,Department,Department_code,Years_exp,Tenure (months),Gross
0,30,Tech,7,10.0,58,132039
0,38,Media,2,14.0,90,308280
0,38,Engineering,0,14.0,82,304584
1,36,Other,4,13.0,52,169141
0,29,Tech,7,9.5,40,736
1,30,Operations,3,10.0,64,175323
0,31,Other,4,10.5,75,202840
0,29,Media,2,9.5,95,241999
0,31,Other,4,10.5,34,98433
0,30,Tech,7,10.0,21,215725
0,36,Tech,7,13.0,28,291357
0,27,Other,4,8.5,11,95681
1,38,Tech,7,14.0,56,275196
0,32,Media,2,11.0,12,167600
0,29,Other,4,9.5,51,136710
1,32,Sales,6,11.0,23,78350
0,32,Tech,7,11.0,9,146800
0,31,Operations,3,10.5,38,95440
1,44,Engineering,0,17.0,173,730261
1,50,Finance,1,20.0,190,146276
1,32,Tech,7,11.0,14,162451
1,46,Sales,6,18.0,19,152512
1,24,Media,2,7.0,24,101574
0,44,Other,4,17.0,164,400372
1,30,Tech,7,10.0,35,107452
1,35,Finance,1,12.5,144,167265
0,31,Tech,7,10.5,87,40890
0,27,Tech,7,8.5,72,155555
