Gender,Age,Department,Department_code,Years_exp,Tenure (months),Gross
1,34,Media,2,12.0,97,242623
0,30,Finance,1,10.0,48,216165
0,26,Tech,7,8.0,31,105898
0,28,Finance,1,9.0,28,55644
0,29,Product,5,9.5,35,114398
0,35,Tech,7,12.5,81,559084
0,32,Tech,7,11.0,118,143604
1,24,Media,2,7.0,12,65087
0,38,Tech,7,14.0,22,484858
0,26,Tech,7,8.0,48,118660
0,39,Other,4,14.5,39,486983
0,35,Operations,3,12.5,70,136232
0,47,Other,4,18.5,30,227176
0,40,Other,4,15.0,87,211594
1,24,Other,4,7.0,8,70417
0,29,Engineering,0,9.5,25,235405
1,28,Engineering,0,9.0,11,116033
0,34,Other,4,12.0,22,88840
1,25,Operations,3,7.5,10,86283
1,25,Other,4,7.5,9,101585
1,33,Other,4,11.5,94,197793
0,34,Tech,7,12.0,117,339332
0,33,Other,4,11.5,50,148610
0,27,Other,4,8.5,6,215363
0,38,Media,2,14.0,136,512007
1,27,Other,4,8.5,10,148312
0,31,Tech,7,10.5,68,167193
1,32,Sales,6,11.0,100,115843
0,30,Tech,7,10.0,14,195366
0,23,Tech,7,6.5,24,95385
1,25,Tech,7,7.5,48,122099
0,37,Other,4,13.5,92,117344
1,34,Finance,1,12.0,30,79168
1,22,Other,4,6.0,9,88686
0,34,Product,5,12.0,25,201724
0,39,Finance,1,14.5,125,173876
0,35,Engineering,0,12.5,33,255399
0,34,Media,2,12.0,33,266268
0,39,Sales,6,14.5,12,432400
0,35,Other,4,12.5,95,261937
0,30,Tech,7,10.0,23,124605
0,38,Finance,1,14.0,106,197567
1,38,Tech,7,14.0,35,147241
1,23,Other,4,6.5,12,99528
0,26,Product,5,8.0,12,74457
0,29,Other,4,9.5,48,85203
0,29,Other,4,9.5,25,69862
0,28,Media,2,9.0,84,188155
0,28,Finance,1,9.0,32,80805
0,50,Other,4,20.0,173,274189
0,34,Other,4,12.0,32,136342
0,34,Media,2,12.0,42,278879
1,24,Other,4,7.0,22,102213
0,41,Tech,7,15.5,29,289615
0,28,Tech,7,9.0,42,130957
0,31,Tech,7,10.5,45,175771
0,28,Sales,6,9.0,27,90447
0,30,Other,4,10.0,27,209378
0,30,Media,2,10.0,61,100521
0,32,Tech,7,11.0,13,223133
0,30,Other,4,10.0,35,108519
0,38,Sales,6,14.0,82,244879
0,29,Other,4,9.5,48,100337
0,35,Other,4,12.5,28,128783
0,30,Other,4,10.0,32,78797
0,35,Media,2,12.5,71,265928
0,33,Other,4,11.5,28,149575
1,29,Other,4,9.5,8,212250
0,26,Media,2,8.0,10,135867
0,31,Tech,7,10.5,7,258917
0,30,Other,4,10.0,12,128950
0,31,Tech,7,10.5,49,123148
0,34,Engineering,0,12.0,104,229981
0,31,Sales,6,10.5,65,286147
1,29,Tech,7,9.5,21,107108
1,34,Other,4,12.0,38,166280
0,30,Tech,7,10.0,39,93015
0,30,Media,2,10.0,41,192043
0,35,Other,4,12.5,73,121795
0,28,Other,4,9.0,48,96200
1,28,Other,4,9.0,57,180898
0,29,Finance,1,9.5,22,88729
0,45,Media,2,17.5,113,618037
1,31,Other,4,10.5,8,96367
0,29,Other,4,9.5,9,158700
0,28,Other,4,9.0,14,77383
0,22,Tech,7,6.0,12,73813
0,33,Tech,7,11.5,68,233239
1,31,Product,5,10.5,69,135063
1,49,Engineering,0,19.5,39,181728
0,35,Other,4,12.5,117,168377
0,30,Other,4,10.0,6,71395
0,29,Finance,1,9.5,39,85323
0,37,Engineering,0,13.5,55,186174
0,26,Other,4,8.0,10,119646
1,25,Other,4,7.5,36,82178
0,32,Other,4,11.0,7,181202
0,34,Engineering,0,12.0,79,298537
0,24,Engineering,0,7.0,12,62087
0,27,Engineering,0,8.5,12,99200
1,25,Other,4,7.5,39,108536
0,27,Other,4,8.5,34,66379
1,25,Other,4,7.5,48,105816
1,26,Operations,3,8.0,9,72400
0,34,Other,4,12.0,26,197254
1,43,Other,4,16.5,31,321045
1,30,Other,4,10.0,36,111835
0,37,Other,4,13.5,160,341201
1,28,Other,4,9.0,47,92093
0,38,Other,4,14.0,30,224094
0,28,Tech,7,9.0,72,146361
1,34,Finance,1,12.0,47,172987
0,34,Product,5,12.0,99,258233
1,31,Other,4,10.5,38,96221
0,24,Other,4,7.0,10,88267
1,36,Media,2,13.0,32,194994
0,34,Other,4,12.0,121,119991
1,29,Tech,7,9.5,49,138925
1,27,Other,4,8.5,48,113169
0,29,Tech,7,9.5,41,154296
0,41,Tech,7,15.5,82,326866
1,34,Operations,3,12.0,102,177575
0,34,Tech,7,12.0,48,218041
1,25,Media,2,7.5,48,112008
0,33,Other,4,11.5,15,299277
0,33,Other,4,11.5,8,175533
1,29,Media,2,9.5,79,127917
1,36,Tech,7,13.0,22,55446
0,35,Tech,7,12.5,141,235743
1,29,Other,4,9.5,75,209297
0,25,Other,4,7.5,44,93852
0,34,Tech,7,12.0,53,108966
0,31,Other,4,10.5,31,78565
1,30,Finance,1,10.0,48,96386
0,27,Operations,3,8.5,15,105254
0,30,Other,4,10.0,33,87043
0,31,Tech,7,10.5,40,188931
0,30,Media,2,10.0,81,125949
1,29,Other,4,9.5,50,131185
1,26,Other,4,8.0,61,103415
0,22,Operations,3,6.0,9,77332
0,36,Finance,1,13.0,66,100945
1,30,Finance,1,10.0,50,101320
0,29,Tech,7,9.5,24,167996
0,26,Other,4,8.0,11,96185
1,26,Other,4,8.0,24,75174
0,31,Engineering,0,10.5,66,141592
0,29,Finance,1,9.5,34,85755
0,40,Other,4,15.0,40,417718
0,37,Product,5,13.5,134,214853
0,34,Sales,6,12.0,25,133673
1,26,Other,4,8.0,14,93100
0,41,Tech,7,15.5,120,297612
1,28,Sales,6,9.0,6,150035
1,34,Media,2,12.0,69,242336
0,33,Engineering,0,11.5,37,219167
0,24,Media,2,7.0,12,73813
0,26,Sales,6,8.0,40,106343
0,25,Tech,7,7.5,36,101114
1,23,Finance,1,6.5,6,92714
1,38,Finance,1,14.0,113,121945
1,38,Other,4,14.0,6,249344
0,25,Other,4,7.5,12,133487
0,29,Other,4,9.5,40,141053
0,35,Other,4,12.5,131,178881
1,30,Operations,3,10.0,48,122200
0,35,Finance,1,12.5,93,122480
0,30,Operations,3,10.0,71,190127
0,28,Finance,1,9.0,14,89125
0,32,Tech,7,11.0,40,251589
1,32,Other,4,11.0,47,189750
1,37,Tech,7,13.5,115,332102
1,31,Tech,7,10.5,72,188621
0,30,Other,4,10.0,32,99079
1,46,Other,4,18.0,16,298103
0,34,Media,2,12.0,62,280473
1,30,Other,4,10.0,49,135338
0,27,Other,4,8.5,13,115484
0,41,Tech,7,15.5,52,390375
0,37,Other,4,13.5,47,112503
0,26,Engineering,0,8.0,27,80413
1,30,Product,5,10.0,61,120245
0,36,Engineering,0,13.0,26,353531
1,25,Media,2,7.5,10,120000
0,37,Engineering,0,13.5,26,296629
0,29,Product,5,9.5,40,152140
0,35,Tech,7,12.5,152,114404
0,26,Media,2,8.0,26,90198
1,26,Other,4,8.0,48,117409
0,33,Other,4,11.5,55,216690
0,30,Sales,6,10.0,35,250110
1,27,Tech,7,8.5,27,107048
1,27,Other,4,8.5,72,128250
0,30,Media,2,10.0,28,170397
0,26,Tech,7,8.0,48,118115
0,29,Tech,7,9.5,36,159908
1,39,Tech,7,14.5,25,272
0,37,Tech,7,13.5,58,215116
0,26,Operations,3,8.0,8,80132
0,29,Operations,3,9.5,42,142941
0,33,Other,4,11.5,51,145626
1,32,Tech,7,11.0,47,79799
0,30,Tech,7,10.0,9,114591
0,39,Other,4,14.5,98,92174
1,37,Other,4,13.5,120,120608
0,32,Operations,3,11.0,59,127834
1,32,Other,4,11.0,73,265483
1,24,Tech,7,7.0,24,70236
0,32,Tech,7,11.0,39,270853
1,33,Media,2,11.5,77,187720
0,36,Media,2,13.0,150,261530
0,37,Tech,7,13.5,85,211808
0,31,Tech,7,10.5,17,128628
0,27,Operations,3,8.5,12,105842
0,32,Media,2,11.0,13,230273
0,27,Media,2,8.5,47,165800
1,29,Media,2,9.5,33,128998
1,28,Tech,7,9.0,42,134657
0,30,Media,2,10.0,48,224872
0,31,Other,4,10.5,10,163222
0,37,Other,4,13.5,92,462384
0,43,Other,4,16.5,108,176483
1,28,Tech,7,9.0,82,199090
1,30,Other,4,10.0,24,142695
0,34,Media,2,12.0,87,147368
1,28,Engineering,0,9.0,6,195785
0,32,Other,4,11.0,35,102846
1,28,Media,2,9.0,16,80333
1,31,Other,4,10.5,19,218690
0,46,Other,4,18.0,15,286600
0,35,Sales,6,12.5,29,212250
0,33,Tech,7,11.5,57,215817
0,25,Other,4,7.5,24,97103
1,50,Other,4,20.0,85,240530
0,29,Operations,3,9.5,50,138272
0,36,Engineering,0,13.0,8,162667
0,30,Other,4,10.0,77,112556
0,33,Operations,3,11.5,9,93980
0,38,Product,5,14.0,149,105189
0,31,Tech,7,10.5,39,172598
0,44,Sales,6,17.0,190,634733
1,29,Operations,3,9.5,55,133337
1,51,Other,4,20.5,142,183373
1,28,Tech,7,9.0,14,156900
0,36,Other,4,13.0,39,232906
1,29,Product,5,9.5,81,152149
1,31,Tech,7,10.5,50,131726
0,31,Tech,7,10.5,28,304702
0,42,Tech,7,16.0,52,711862
0,31,Other,4,10.5,17,159375
0,39,Other,4,14.5,39,168432
0,23,Tech,7,6.5,12,73813
1,31,Other,4,10.5,19,175612
0,35,Other,4,12.5,7,263636
0,28,Other,4,9.0,47,174171
0,38,Engineering,0,14.0,24,317410
0,27,Other,4,8.5,81,103347
0,25,Tech,7,7.5,7,136725
0,25,Media,2,7.5,47,146846
1,42,Other,4,16.0,190,426883
